SourcePub,Profile_name,X,Y
Frankel2001,24,308.935,536.299
Frankel2001,24,309.178,536.93
Frankel2001,24,309.301,537.685
Frankel2001,24,309.301,539.072
Frankel2001,24,309.424,539.575
Frankel2001,24,309.67,539.953
Frankel2001,24,309.67,539.953
Frankel2001,24,310.036,540.08
Frankel2001,24,310.404,540.206
Frankel2001,24,311.383,540.08
Frankel2001,24,312.241,539.702
Frankel2001,24,313.099,539.448
Frankel2001,24,313.099,539.448
Frankel2001,24,313.834,539.072
Frankel2001,24,314.448,538.692
Frankel2001,24,314.938,538.19
Frankel2001,24,315.427,537.936
Frankel2001,24,315.427,537.936
Frankel2001,24,315.796,537.812
Frankel2001,24,316.162,537.936
Frankel2001,24,316.408,538.063
Frankel2001,24,317.265,538.063
Frankel2001,24,317.756,537.936
Frankel2001,24,318.247,537.812
Frankel2001,24,318.736,537.812
Frankel2001,24,318.736,537.812
Frankel2001,24,319.105,537.936
Frankel2001,24,319.47,538.063
Frankel2001,24,319.839,538.314
Frankel2001,24,320.205,538.441
Frankel2001,24,320.205,538.441
Frankel2001,24,320.941,538.567
Frankel2001,24,321.677,538.567
Frankel2001,24,321.677,538.567
Frankel2001,24,322.167,538.692
Frankel2001,24,322.78,538.692
Frankel2001,24,323.392,538.82
Frankel2001,24,324.005,538.946
Frankel2001,24,324.005,538.946
Frankel2001,24,324.861,539.324
Frankel2001,24,325.72,539.575
Frankel2001,24,325.72,539.575
Frankel2001,24,326.577,539.827
Frankel2001,24,327.435,539.953
Frankel2001,24,327.435,539.953
Frankel2001,24,328.048,539.953
Frankel2001,24,328.661,540.08
Frankel2001,24,329.887,540.08
Frankel2001,24,329.887,540.08
Frankel2001,24,330.255,540.206
Frankel2001,24,330.621,540.331
Frankel2001,24,330.989,540.458
Frankel2001,24,331.846,540.458
Frankel2001,24,332.337,540.331
Frankel2001,24,332.949,540.206
Frankel2001,24,333.438,540.206
Frankel2001,24,333.438,540.206
Frankel2001,24,333.929,540.331
Frankel2001,24,334.298,540.584
Frankel2001,24,334.666,540.836
Frankel2001,24,335.155,541.087
Frankel2001,24,335.155,541.087
Frankel2001,24,335.645,541.214
Frankel2001,24,337.359,541.214
Frankel2001,24,337.359,541.214
Frankel2001,24,338.219,541.087
Frankel2001,24,339.077,541.087
Frankel2001,24,339.077,541.087
Frankel2001,24,339.689,541.34
Frankel2001,24,340.301,541.718
Frankel2001,24,340.301,541.718
Frankel2001,24,340.669,541.97
Frankel2001,24,341.159,542.221
Frankel2001,24,341.526,542.474
Frankel2001,24,342.017,542.6
Frankel2001,24,342.017,542.6
Frankel2001,24,342.507,542.6
Frankel2001,24,342.996,542.474
Frankel2001,24,343.487,542.221
Frankel2001,24,343.978,541.843
Frankel2001,24,343.978,541.843
Frankel2001,24,344.346,541.34
Frankel2001,24,344.712,540.709
Frankel2001,24,345.08,540.08
Frankel2001,24,345.448,539.448
Frankel2001,24,345.448,539.448
Frankel2001,24,346.427,538.314
Frankel2001,24,347.042,537.812
Frankel2001,24,347.653,537.18
Frankel2001,24,347.653,537.18
Frankel2001,24,349.246,535.795
Frankel2001,24,351.329,534.157
Frankel2001,24,351.329,534.157
Frankel2001,24,352.432,533.274
Frankel2001,24,353.779,532.519
Frankel2001,24,355.128,531.51
Frankel2001,24,356.476,530.502
Frankel2001,24,356.476,530.502
Frankel2001,24,357.945,529.241
Frankel2001,24,359.416,527.856
Frankel2001,24,361.009,526.469
Frankel2001,24,362.602,525.084
Frankel2001,3,71.188,580.422
Frankel2001,3,73.138,579.671
Frankel2001,3,75.237,579.07
Frankel2001,3,75.237,579.07
Frankel2001,3,75.987,578.921
Frankel2001,3,77.037,578.77
Frankel2001,3,78.387,578.62
Frankel2001,3,80.037,578.17
Frankel2001,3,80.037,578.17
Frankel2001,3,81.686,577.719
Frankel2001,3,83.785,576.969
Frankel2001,3,86.185,576.219
Frankel2001,3,88.584,575.467
Frankel2001,3,91.284,574.567
Frankel2001,3,93.983,573.816
Frankel2001,3,96.682,573.066
Frankel2001,3,99.232,572.315
Frankel2001,3,99.232,572.315
Frankel2001,3,101.781,571.715
Frankel2001,3,104.181,571.264
Frankel2001,3,109.43,570.364
Frankel2001,3,114.528,569.463
Frankel2001,3,117.078,568.863
Frankel2001,3,119.627,568.112
Frankel2001,3,119.627,568.112
Frankel2001,3,122.177,567.211
Frankel2001,3,124.726,566.311
Frankel2001,3,129.825,564.209
Frankel2001,3,134.774,561.957
Frankel2001,3,139.722,559.856
Frankel2001,3,139.722,559.856
Frankel2001,3,149.32,555.953
Frankel2001,3,153.819,554.301
Frankel2001,3,155.918,553.551
Frankel2001,3,157.868,552.8
Frankel2001,3,157.868,552.8
Frankel2001,3,161.467,551.749
Frankel2001,3,164.617,550.999
Frankel2001,3,167.466,550.248
Frankel2001,3,169.865,549.647
Frankel2001,3,169.865,549.647
Frankel2001,3,170.915,549.348
Frankel2001,3,171.665,548.897
Frankel2001,3,172.265,548.597
Frankel2001,3,172.865,548.147
Frankel2001,3,174.065,547.546
Frankel2001,3,174.664,547.246
Frankel2001,3,175.564,547.096
Frankel2001,3,175.564,547.096
Frankel2001,3,176.614,546.946
Frankel2001,3,184.112,546.946
Frankel2001,3,185.311,546.796
Frankel2001,3,185.311,546.796
Frankel2001,3,187.411,546.345
Frankel2001,3,189.361,545.745
Frankel2001,3,191.311,545.145
Frankel2001,3,192.961,544.544
Frankel2001,3,192.961,544.544
Frankel2001,3,193.71,544.394
Frankel2001,3,194.459,544.244
Frankel2001,3,195.809,544.093
Frankel2001,3,196.559,543.943
Frankel2001,3,197.159,543.793
Frankel2001,3,197.76,543.343
Frankel2001,3,198.358,542.893
Frankel2001,3,198.358,542.893
Frankel2001,3,198.958,542.142
Frankel2001,3,200.159,540.34
Frankel2001,3,200.758,539.14
Frankel2001,3,201.808,536.888
Frankel2001,3,202.407,535.987
Frankel2001,3,202.858,535.086
Frankel2001,3,202.858,535.086
Frankel2001,3,203.757,533.585
Frankel2001,3,204.658,532.385
Frankel2001,3,205.557,531.334
Frankel2001,3,206.458,530.433
Frankel2001,3,206.458,530.433
Frankel2001,3,207.507,529.682
Frankel2001,3,208.707,529.081
Frankel2001,3,210.057,528.631
Frankel2001,3,211.256,528.03
Frankel2001,3,211.256,528.03
Frankel2001,3,213.806,526.98
Frankel2001,3,215.156,526.379
Frankel2001,3,216.354,525.629
Frankel2001,3,216.354,525.629
Frankel2001,3,217.555,524.728
Frankel2001,3,218.754,523.827
Frankel2001,3,219.805,522.777
Frankel2001,3,221.005,521.876
Frankel2001,3,221.005,521.876
Frankel2001,3,221.904,521.125
Frankel2001,3,222.954,520.525
Frankel2001,3,223.404,520.224
Frankel2001,3,224.004,519.924
Frankel2001,3,224.753,519.624
